Challenge Name,Action Item Name,
Own Source Revenues too Low,,
     Action 1,"Develop a plan of revenue collection improvement actions before seeking an increase in tax, tariff and/or fee rates.",
     Action 2,Implement the Revenue Enhancement Action Plan,
     Action 3,"Introduce GIS-linked systems for identifying, calculating, billing and collecting taxes, fees and service bill payments.",
     Action 4,"Introduce a mechanism for early identification and resolution of arrears in tax, fee and service bill payments.",
     Action 5,"Consolidate the tax, fee and service bill accounts of taxpayers and service users.",
     Action 7,Contract with external lawyers for complex collection efforts involving litigation.,
     Action 8,"Initiate discussions with the appropriate central government authorities regarding the Local Authority’s need to increase rates on existing taxes, tariffs, and/or fees.",
     Action 9,"Develop a strong case for greater rate setting discretionary authority by analyzing fiscal, legislative and regulatory issues.",
     Action 10,"Raise tax rates, and/or tariff/fee rates for mandated services currently not generating sufficient revenue to cover cost of services.",
     Action 11,"Initiate discussions with the appropriate central government authorities regarding the local government’s need to establish new taxes, user charges, and/or fees.",
     Action 12,"Obtain and document the required approvals for new local taxes, tariffs and fees from higher levels of government and keep all appropriate local stakeholders apprised of these developments.",
     Action 13,"Make certain that the Local Authority is both internally and externally prepared to implement new taxes, tariffs or fees, including preparation of staff, equipment, software and the community.",
     Action 14,"Introduce a new tax for general own source revenue, or new user charges/fees for mandated services currently not generating revenue.",
     Action 15,Introduce improved cash management practices to produce interest income.,
     Action 16,"Promote and market the Revenue Enhancement Action Plan to obtain needed approvals and long-term political support. Mobilize the human and financial resources to implement the Revenue Enhancement Action Plan, and perform continuous monitoring and reporting to pinpoint any problems.",
Intergovernmental Transfers too Low,,
     Action 1,"Analyze all intergovernmental transfers to identify the cause of instability and unpredictability of each specific intergovernmental transfer, including grants and shared taxes.",
     Action 2,Evaluate the timeliness and fluctuations of intergovernmental transfers and the impact of any delays and year-to-year amount fluctuations of the Local Authority’s payments and short-term borrowing requirements.,
     Action 3,"Develop a plan for intergovernmental transfer improvement actions that bases transfers to Local Authorities on an agreed share of a stable source of central government revenue (e.g., the telephone tax, the fuel tax, or others as appropriate).",
     Action 4,"Develop a plan for intergovernmental transfer improvement actions that allocate transfers to Local Authorities on a predictable basis using an agreed formula based on objective and measurable factors such as population, economic activity, own source revenue collection, etc.",
     Action 5,Develop a plan for intergovernmental transfer improvement actions that simplify and speed up the transfer process while making the transfer mechanism more transparent.,
     Action 6,"Work with an appropriate Association of Local Authorities to engage the national government on resolving issues related to unstable, unpredictable and delayed intergovernmental transfers.",
Non-recurrent Revenues too High,,
     Action 1,Review the types of assets of the Local Authority that are being sold and estimate when the available assets will be fully depleted at current rates of sale and replacement.,
     Action 2,"Determine the reasons why non-recurrent revenues are being used and, if appropriate, define alternative actions to address the need for revenue without having to sell assets.",
